time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589552471.4849384,0.2,-4.46,8.8,0.4833333333333333,0.38333333333333336,-0.59,0.75,5.5625,-1.5
1589552471.4949384,0.17495491729862067,-4.4683483609004595,8.866786887203679,0.4833333333333333,0.38333333333333336,-0.59,-4.363371051531617,5.771209022511495,-1.7087090225114947
1589552471.5049384,0.18653113868075175,-4.436937722638496,8.855203291978873,0.4814965401465831,0.38333333333333336,-0.6056127420873767,-1.0355760963026661,1.4730760963026661,-3.196474634565778
1589552471.5149384,0.2101337709893445,-4.389598687031966,8.828394748127867,0.4811111111111111,0.38333333333333336,-0.6088888888888889,5.30686813413387,-4.459237785768482,-8.10348282914921
1589552471.5249383,0.21705208986243527,-4.368843730412694,8.745374921650777,0.4811111111111111,0.38333333333333336,-0.6088888888888889,-4.6814547388909045,-5.58346460264573,2.706390410055091
1589552471.5349383,0.21999628162939,-4.31,8.79999628162939,0.4811111111111111,0.38333333333333336,-0.6088888888888889,0.24962816293900014,-0.31259295926525,0.8748605611021251
1589552471.5449383,0.21219830070463122,-4.31,8.79219830070463,0.4811111111111111,0.38333333333333336,-0.6088888888888889,-0.5301699295368769,-0.5075424823842192,0.5824362764236711
1589552471.5549383,0.21,-4.292268338631814,8.798865830684093,0.4761856496199485,0.38333333333333336,-0.6088888888888889,3.7937382255975507,0.434905951960438,-4.043738225597551
1589552471.5649383,0.23269423260247854,-4.327823721004131,8.792435255799173,0.4755555555555556,0.38333333333333336,-0.6088888888888889,-0.5420837305370192,-4.4491430330473465,-5.854270932634255
1589552471.5749383,0.24,-4.330570575340725,8.705135178066524,0.4755555555555556,0.38333333333333336,-0.6088888888888889,-0.9463219175906217,5.370677399370969,-4.128379451663119
1589552471.5849383,0.22490487291322003,-4.33,8.71509512708678,0.4755555555555556,0.38333333333333336,-0.6088888888888889,-0.12024364566100165,-0.25858446758911047,4.019286264851857
1589552471.5949383,0.21399472163920116,-4.3360052783607985,8.768042226886392,0.4755555555555556,0.38333333333333336,-0.6088888888888889,-3.703364955009248,-7.529585575943975,6.174604122940089
